,id,articulation
0,Waleed Alshehri,0
1,Mohamed Atta,1
2,Mamduh Mahmud Salim,0
3,Lotfi Raissi,0
4,Usman Bandukra,1
5,Salem Alhazmi,0
6,Nabil Almarabh,0
7,Ramzi Bin al-Shibh,0
8,Said Bahaji,0
9,Mohamed Abdi,0
10,Mustafa Ahmed al-Hisawi,0
11,Essoussi Laaroussi,0
12,Zacarias Moussaoui,0
13,Jean-Marc Grandvisir,0
14,Abdelghani Mzoudi,0
15,Kamel Daoudi,0
16,Mounir El Motassadeq ,0
17,Ahmed Al Haznawi,0
18,Faisal Al Salmi,0
19,Imad Eddin Barakat Yarkas,0
20,Seifallah ben Hassine,0
21,Tarek Maaroufi,0
22,Nabil al-Marabh,0
23,Agus Budiman,0
24,Ahmed Khalil Ibrahim Samir Al-Ani,0
25,Ahmed Alghamdi,0
26,Nizar Trabelsi,0
27,Samir Kishk,0
28,Mohammed Jaweed Azmath,0
29,David Courtaillier,0
30,Bandar Alhazmi,0
31,Mamoun Darkazanli,1
32,Mohamed Bensakhria,0
33,Mohammed Belfas,0
34,Abdul Aziz Al-Omari,0
35,Rayed Mohammed Abdullah,0
36,Wail Alshehri,0
37,Zakariya Essabar,0
38,Saeed Alghamdi,0
39,Mehdi Khammoun,0
40,Lased Ben Heni,0
41,Majed Moqed,0
42,Mohammad Pervez,0
43,Khalid Al-Mihdhar,0
44,Abu Zubeida,0
45,Madjid Sahoune,0
46,Abdussattar Shaikh,0
47,Fayez Ahmed,0
48,Ziad Jarrah,0
49,Essid Sami Ben Khemais,1
50,Ayub Ali Khan,0
51,Mohand Alshehri,0
52,Djamal Beghal,1
53,Nawaf Alhazmi,1
54,Abu Walid,0
55,Osama Awadallah,0
56,Marwan Al-Shehhi,0
57,Jerome Courtaillier,0
58,Hani Hanjour,0
59,Satam Suqami,0
60,Ahmed Alnami,0
61,Karim Koubriti,0
62,Abu Qatada,0
63,Fahid al Shakri,0
64,Haydar Abu Doha,0
65,Ahmed Ressam,0
66,Raed Hijazi,1
67,Hamza Alghamdi,0
68,Ahmen Hannan,0
